ID,prd_code_sku,company,name_internal,vendor,productgroup,werksoort,costcenter,uursoort,discountgroup,currency,salesprice
33f25b3e-ec56-4cff-908e-293187ca53a0,EK,MUN,"Non-recurring costs - eenmalige kosten; use ""samenstelling"" to add non-recurring costs",,,,,,,,0.00
09c504f3-2417-4e72-9a78-3fc0a45efa95,ESLACCN-USER,MUN,"Light portal user account, non-recurring",,"ISPN InsightNow Platform, non-recurring",,Light,,,,35.00
54678d35-5ed6-44cf-878b-a0107e533b05,ESLACCRY-USER,MUN,"Light portal user account, per year",,"ISPRY InsightNow Platform, recurring per year",,Light,,,,7.20
b191364f-6fd4-420c-beee-d0610caa3be0,ESLC4A-E -,MUN,"Model LC4, Elspec, universal light controller DALI/010V, energy measurement, non-recurring",,"ISNN InsightNow Network, non recurring",,Light,,,,90.00
ffe6a5eb-9f5d-493a-a886-2da27e97dc8a,ESLCNFN-LOC,MUN,"On-site portal configuration light project, non-recurring",,"ISPN InsightNow Platform, non-recurring",,Light,,,,1000.00
58f5d5cb-de7f-490d-9cde-ad77e3840e52,ESLCNFN-REM,MUN,"Remote portal configuration light project, non-recurring",,"ISPN InsightNow Platform, non-recurring",,Light,,,,500.00
66eb3d08-5d39-418f-89d5-f1f143bbbaf0,ESLCNFRY-LOC,MUN,"On-site portal configuration light project, per year",,"ISPRY InsightNow Platform, recurring per year",,Light,,,,0.00
d84716a7-543b-4ed4-9d29-c6a3e1044563,ESLCNFRY-REM,MUN,"Remote portal configuration light project, per year",,"ISPRY InsightNow Platform, recurring per year",,Light,,,,0.00
eb84c38b-a6f4-44e0-8cad-cc84f4f205ee,ESLCNTN-ADV,MUN,"Controlling light, advanced version [dimcalendar, alarm, error reporting, energy, dynamic, traffic], non-recurring",,"ISPN InsightNow Platform, non-recurring",,Light,,,,15.00
49b75bd1-2838-434d-8904-43216a58f065,ESLCNTRY-ADV,MUN,"Controlling light, advanced version [dimcalendar, alarm, error reporting, energy, dynamic, traffic], per year",,"ISPRY InsightNow Platform, recurring per year",,Light,,,,14.40
