ID,volg_nr,project_name,debtor_name,relatie_nr,financial_status,start_date,extention_datate,end_date,sales_order,sla_type,contact_name
35188845-32d0-47a8-9467-c5fbc69c1e98,,Maatwerk projector zoals in de Oude Haven,AKRON,Geert Dierckx,,,,,"0,00",,George Boersma
e2da62c6-7ce9-4751-8315-b154c2426e49,SCA250903,Geluidmeetnetwerk s'Hertogenbosch 15x geluidduider en 5 x SP7 (mobiel),Gemeente 's-Hertogenbosch,Bas Janssen,,,,,"72.497,00",Full-Service,
17308151-b0d0-4a25-9e72-07a1c87c4472,SCA250902,2 GD1 en 2 SP7 (mobiele) geluidmeters,Gemeente Amersfoort,José Hobert,,,,,"12.839,00",Full-Service,
969fd097-4eae-4143-ad23-c19c8acb036a,SCA250901,1x Horecasense incl. tablet-A'dam Six Senses,A'DAM Six Senses b.v.,Gianni Schouten,,,,,"1.200,50",Warranty (3 year),
57ca0f14-7a1e-4aee-9e00-d9a683052921,SCA250900,8 x LV8 4-5 en 2 x LV8 10-10- Gem.Amsterdam-Diemerpark,Gemeente Amsterdam Diemerpark,Mickolai  Oudenhuijsen,,19-12-2025,19-12-2026,,"6.993,00",Warranty (5 year),Ron Wittebol
24211496-d0b7-4a3b-8630-38ab73124caa,SCA250899,Voorstel vervanging geluidmeters,Gemeente Breda,Bas Akkermans,,,,,"58.026,50",Full-Service,
5119a9f2-3ef4-425f-9aab-47f11afb9903,SCA250898,1 x SPC en 2 x GD,Gemeente Helmond,Frank Wijnen,,,,,"14.477,00",Full-Service,
9ab7846b-b56d-453f-a868-c343aebe94b2,SCA250897,project Zuiderlingedijk,Waterschap Rivierenland,Heino Niewold,,,08-12-2030,,"995,01",No Warranty,
7c8c02de-734f-4242-918f-d24a05fb19ff,SCA250896,Amsterdamse Kademuren LEASE,Socotec Geotechnics,Matthew  Pegels,,,,,"48.077,00",Full-Service,Irene Barten
9271394f-b5d0-48d8-a100-2a63a11911e6,SCA250895,1x Horecasense Basis-café/groep COLLECTIF METTEURS EN PIECES,AKRON,Gerda Lauwers,,,,,"1.075,50",Warranty (3 year),
0a8243b3-055c-407f-b5df-bad76c96d87d,SCA250894,1x SP7-geluidmonitor station Doelenplein,Gemeente Delft,Leo Pons,,,,,"0,00",Carry-IN,Irene Barten
9912d885-000e-4f1a-a212-7fa33da76de1,SCA250893,Aanbesteding Nissewaard 85x LV8,Gemeente Nissewaard,Quino  Kraak,,01-08-2025,01-08-2026,,"75.735,00",Full-Service,
e126adfa-9336-4fc4-857b-6219959686f5,SCA250892,30 x LV8 4-5-project ‘De Blaak 20250881’ ink nr. 20250881,Geofoxx B.V.,Joshi  Lenferink,,29-10-2025,29-10-2026,,"19.501,50",Warranty (5 year),Irene Barten
c234f46d-5aa3-4a65-8f57-d4f2951fbab0,SCA250891,1 x LV8 10/10-project ‘Ploen Noord 20250632’,Geofoxx B.V.,Joshi  Lenferink,,29-10-2025,29-10-2026,,"667,05",Warranty (5 year),Irene Barten
da0411b1-89af-4142-a1fc-26d0f7708103,SCA250890,2 x Waterspanningsmeter,Buijtenhuis,Arjan Buijtenhuis,,24-10-2025,24-10-2026,,"2.252,00",Warranty (5 year),Ron Wittebol
bb0f34c9-f576-46ea-96ab-eea767553a10,SCA250889,2x Horecasense basis-MAISON DE LA CREATION,AKRON,Gerda Lauwers,,30-10-2025,30-10-2028,,"2.150,00",Warranty (3 year),
d4ff4937-044f-4e26-ac80-4ef2c493c833,SCA250888,1x Horecasense website bestelling,JH De ZoeNK,Jannes Urlings,,,,,"0,00",Warranty (3 year),
b26a62ec-4637-466a-abb2-dc9a2bb4dc76,SCA250887,1x Horecasense Expert-VRIJE UNIVERSITEIT BRUSSEL,AKRON,Gerda Lauwers,,,,,"1.695,00",Warranty (3 year),
