ID,volg_nr,debtor_nr,debtor_name,project,reference,account_manager,invoice_date,period_start,total_ex_vat,total_incl_vat,paid_amount,open_amount
c0a1365d-414e-4045-94f8-b452291eb2e2,,A0010,Peutz,SCA230680 Nestgeluiden 2 jr,afrekening Q4-> in afwachting WvdM goedkeuring,,,,8174.70,9891.39,0.00,9891.39
430dd598-a236-4af6-bf1d-a73656f0dd47,,A0000,Aveco de Bondt B.V.,SCA170095 AVECO_portal-projectnummer 215753 250,portalkosten DEC ->  per 1 jan,Hans Mulder,,,39600.00,47916.00,0.00,47916.00
e0f8c1f1-3e8a-4734-9acd-14456a1986f8,,A0000,Aveco de Bondt B.V.,SCA250886 Periodieke kosten Vallei en Veluwe,Periodieke kosten Vallei en Veluwe-> okt-dec concept naar RM 19/12,Michelle Klijn,,,27591.68,33385.93,0.00,33385.93
0cb6d9c2-15f8-4115-8dd7-d53615263996,,A0010,Peutz,SCA230680 Nestgeluiden 2 jr,afrekening Q3-> in afwachting WvdM goedkeuring,,,,8174.70,9891.39,0.00,9891.39
c01c8d15-ed04-490d-a1be-acdc59ae1d00,,DE2200307,Socotec Geotechnics,SCA250867 HDSR - 25SP0966 - Lease,2x LV8 10/10 van WRIJ (Koop) naar HDSR (lease),Hans Mulder,,,-1027.23,-1242.95,0.00,-1242.95
72851656-a647-435c-968b-0a8f03d1cba2,,A0000,Aveco de Bondt B.V.,SCA250886 Periodieke kosten Vallei en Veluwe,5x LV8 20L20 Vallei en Veluwe-> prijs navragen 20/20 voor vallei en veluwe,Michelle Klijn,,,2095.05,2535.01,0.00,2535.01
795b53c8-1e38-4df4-9fe6-81fcfee59f92,,DE2100274,DCMR Milieudienst Rijnmond,SCA240781 5x GD1-Pilot Oude Haven,periodieke kosten 2026 tot 1-5-26-> offerte voor 5 maanden naar J.Potter,,,,2757.85,3337.00,0.00,3337.00
fe8902f2-4927-4e19-a129-1979b87f5724,,DE2000235,Stichting Waterhouderij Walcheren,SCA200386 19xLV5-7 + 5x QU7,periodieke kosten 1/10-1/10 -> info Thaem van Aequator voor verlening,,,,566.76,685.78,0.00,685.78
14a4bd40-f78c-40fa-bb3b-b639569f1087,VFA2504956,DE1600068,AKRON,SCA240804 Aanbesteding Gent/Leuven NP9+GD1,"Nudging-> discussie over korting-> half dec factuur 29.475.- min 15%=12,5%",George Boersma,22-12-2025,2025/12,25792.50,25792.50,0.00,25792.50
00cc2de1-24d4-422e-a020-5409b624fb79,VFA2504955,A0000,Aveco de Bondt B.V.,,5x LV8 20L20 Vechtstromen-> vallei en veluwe,Michelle Klijn,22-12-2025,2025/12,-2095.05,-2535.01,0.00,-2535.01
da0090b1-c25e-48ac-8830-1193191a3634,VFA2504954,DE2000248,Aarhus Vand Forsyning A/S,SCA200436 10x Watermeters,Batterij vervanging-> intern voor afboeken vrd,,22-12-2025,2025/12,0.00,0.00,0.00,0.00
471cf795-5c89-44b6-a77a-4dfa73f261c5,VFA2504953,G0033,Gemeente Rotterdam,SCA230667 Dynamische displays tbv zomeroffensief,info GB per.kn.,,19-12-2025,2025/12,5240.00,6340.40,0.00,6340.40
0d1c7365-faad-4744-89d6-5871f2896eeb,VFA2504952,G0032,Gemeente Amersfoort,SCA250902 2 GD1 en 2 SP7 (mobiele) geluidmeters,2 vaste en 2 mobiele geluidmeters-> factuur 2025,Ron Wittebol,19-12-2025,2025/12,12839.00,15535.19,0.00,15535.19
b870d176-735c-41fa-ab68-f80b8fc6fc5f,VFA2504951,DE1600063,Arcadis Nederland BV,SCA220588 Noorderzijlvest- onderh's & portal-NL2810620351,in afwachting van uitvoering service-> fakt einde dec,,19-12-2025,2025/12,1930.40,2335.78,0.00,2335.78
