""Prd.code (SKU)""	""Company""	""Naam intern""	""Standaard leverancier""	""Productgroep""	""Werksoort""	""Kostenplaats""	""Uursoort""	""Kortingsgroep""	""Valuta""	""Verkoopprijs product (standaard)""
""EK""	""MUN""	""Non-recurring costs - eenmalige kosten; use "samenstelling" to add non-recurring costs""	""""	""""	""""	""""	""""	""""	""""	""0,00""
""ESLACCN-USER""	""MUN""	""Light portal user account, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""35,00""
""ESLACCRY-USER""	""MUN""	""Light portal user account, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""7,20""
""ESLC4A-E -""	""MUN""	""Model LC4, Elspec, universal light controller DALI/010V, energy measurement, non-recurring""	""""	""ISNN InsightNow Network, non recurring""	""""	""Light""	""""	""""	""""	""90,00""
""ESLCNFN-LOC""	""MUN""	""On-site portal configuration light project, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""1.000,00""
""ESLCNFN-REM""	""MUN""	""Remote portal configuration light project, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""500,00""
""ESLCNFRY-LOC""	""MUN""	""On-site portal configuration light project, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLCNFRY-REM""	""MUN""	""Remote portal configuration light project, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLCNTN-ADV""	""MUN""	""Controlling light, advanced version [dimcalendar, alarm, error reporting, energy, dynamic, traffic], non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""15,00""
""ESLCNTRY-ADV""	""MUN""	""Controlling light, advanced version [dimcalendar, alarm, error reporting, energy, dynamic, traffic], per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""14,40""
""ESLENTN-A500""	""MUN""	""Portal license 500 light controllers, advanced version [dimkalendar, alarm, error reporting, energy, dynamic, traffic count], non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""1.430,00""
""ESLENTN-B050""	""MUN""	""Portal license 50 light controllers, 2 users, basic version [dimkalendar, alarm, error reporting, energy], non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""720,00""
""ESLENTN-B100""	""MUN""	""Portal license 100 light controllers, basic version [dimkalendar, alarm, error reporting, energy], non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""1.075,00""
""ESLENTN-B500""	""MUN""	""Portal license 500 light controllers, basic version [dimkalendar, alarm, error reporting, energy, dynamic, traffic count] , non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""1.075,00""
""ESLENTN-L050""	""MUN""	""Portal license 50 light controllers, 1 user, lite version [dimkalendar, alarm], non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""Light""	""""	""""	""""	""350,00""
""ESLENTRY-A500""	""MUN""	""Portal usage 500 light controllers, advanced version [dimkalendar, alarm, error reporting, energy, dynamic, traffic count], per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLENTRY-B050""	""MUN""	""Portal usage 50 light controllers, 2 users, basic version [dimkalendar, alarm, error reporting, energy], per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLENTRY-B100""	""MUN""	""Portal usage 100 light controllers, basic version [dimkalendar, alarm, error reporting, energy], per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLENTRY-B500""	""MUN""	""Portal usage 500 light controllers, basic version [dimkalendar, alarm, error reporting, energy, dynamic, traffic count] , per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLENTRY-L050""	""MUN""	""Portal usage 50 light controllers, 1 user, lite version [dimkalendar, alarm], per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""Light""	""""	""""	""""	""0,00""
""ESLGTWN-ALIS5Y""	""MUN""	""ALiS interface to INSIGHTNOW platform for gateway, fee for 5 years, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""0,00""
""ESLGTWRY-ALIS5Y""	""MUN""	""ALiS interface to INSIGHTNOW platform for gateway, fee for 5 years, per year""	""""	""ISPRY InsightNow Platform, recurring per year""	""""	""""	""""	""""	""""	""30,00""
""ESLLCNNR-ALIS5Y""	""MUN""	""ALiS interface to INSIGHTNOW platform for light controller, fee for 5 years, non-recurring""	""""	""ISPN InsightNow Platform, non-recurring""	""""	""""	""""	""""	""""	""0,00""
