""Volgnr.""	""Icon (on)vergrendeld""	""Crediteur""	""Project""	""Bron verkoop""	""Icon product""	""Lev. bestelcode (SKU)""	""Productomschrijving""	""Aantal""	""Prijs net. ink. (p.e.)""	""Tot. ink. ex. BTW (CC)""
""IOA2500344""	""""	""AquaLabo""	""""	""""	""""	""MPS-VERZEND""	""DAP LEIDERDORP, NL
SHIP WITH DHL ECONOMY SELECT

PORT01 FRAIS DE PORT FRANCE et CEE""	""1,0""	""50,00""	""50,00""
""IOA2500344""	""""	""AquaLabo""	""""	""""	""""	""ZZZ-SNS-QUAL-DO-AL-L3B""	""PF-CAP-C-00418 - OPTOD plastic standard Dissolved sensor, Aqua Labo, 3m cable, bare wire, 5-12V supply""	""4,0""	""921,00""	""2.394,60""
""IOA2500343""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2500342""	""""	""IOT Unlimited BV""	""""	""""	""""	""ZZZ-eSIM-ROAMING-1MB""	""SIM Roaming 1MB T-Mobile NL""	""2.000,0""	""0,00""	""0,00""
""IOA2500341""	""""	""Transfer Multisort Elektronik BV""	""""	""""	""""	""ZZZ-CH-OWA-60E-24""	""OWA-60E-24 AC-DC Single output moistureproof adaptor with PFC; Input 2 pin Euro plug; Output 24VDC at 2.5A with P1J tuning fork plug OD 5.5mm; ID 2.1mm; Lenght 11mm; Class II""	""50,0""	""24,00""	""1.200,00""
""IOA2500340""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2500339""	""""	""Huba Control""	""""	""""	""""	""ZZZ-SNS-PRESS-D713-10L20""	""Opmerking
713.8120306110 - Absolute ceramic pressure transmitter 0.8-2.0 bar (Huba D713; 18 mm), 20 meter cable""	""15,0""	""244,70""	""3.670,50""
""IOA2500339""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""90,0""	""119,30""	""10.737,00""
""IOA2500339""	""""	""Huba Control""	""""	""""	""""	""713.99002""	""digital+temp (3 bytes), 15m kabel, 0,8 - 2,0 bara, speciale konfectie""	""70,0""	""161,25""	""11.287,50""
""IOA2500338""	""""	""Elfa Elementenfabriek B.V expert in accu's, batterijen en verlichting""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""ADR/toeslag""	""1,0""	""13,50""	""13,50""
""IOA2500338""	""""	""Elfa Elementenfabriek B.V expert in accu's, batterijen en verlichting""	""""	""""	""""	""TPBATA-34615""	""Batterij voor xx8 apparaten (LTE-M of NB-IoT)""	""500,0""	""12,85""	""6.425,00""
""IOA2500337""	""""	""Eriks BV""	""""	""""	""""	""11093199""	""OR FKM 514320 10x2""	""2.500,0""	""0,14""	""350,00""
""IOA2500337""	""""	""Eriks BV""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Administratiekosten""	""1,0""	""22,00""	""22,00""
""IOA2500336""	""""	""Digi-Key""	""""	""""	""""	""WM11188-ND""	""5023510800
CONN RCPT HSG 8POS 2.00MM""	""2.500,0""	""0,25""	""623,48""
""IOA2500335""	""""	""Digi-Key""	""""	""""	""""	""732-726300002-ND""	""BLACK PLASTIC COVER FOR SMA JACK""	""2.000,0""	""0,30""	""587,66""
""IOA2500334""	""""	""Technische Unie BV""	""""	""""	""""	""ZZZ-GLND-IP68-M12-BLUE""	""Blueglobe Gland M12""	""1.500,0""	""1,03""	""1.545,00""
""IOA2500333""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2500332""	""""	""Random Hardware Store""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Aan derden uitbesteed werk""	""282,0""	""0,81""	""228,42""
""IOA2500331""	""""	""Texim""	""""	""""	""""	""TPSIMCOM-SIM7600G-H-M2""	""SIM7600G-H-R2-M2-B04-(S2-109K3-Z31GR)-SMM""	""3,0""	""35,99""	""107,97""
""IOA2500331""	""""	""Texim""	""""	""""	""""	""MPS-VERZEND""	""Verzendkosten""	""1,0""	""6,95""	""6,95""
""IOA2500331""	""""	""Texim""	""""	""""	""""	""MPS-ADMINCOST-W""	""Administratiekosten
Voor bestellingen onder het minimum orderbedrag van 150 euro, berekenen wij administratiekosten.""	""1,0""	""10,00""	""10,00""
""IOA2500330""	""""	""Reichelt Elektronik GmbH""	""""	""""	""""	""DELOCK 60529""	""M8 connector A-gecodeerd 3-pins stekker, met schroefaansluiting Male""	""15,0""	""6,81""	""102,15""
""IOA2500330""	""""	""Reichelt Elektronik GmbH""	""""	""""	""""	""DELOCK 60531""	""M8 connector A-gecodeerd 3-pins bus, met schroefaansluiting Female""	""10,0""	""6,81""	""68,10""
""IOA2500329""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2500328""	""""	""CoreIoT""	""""	""""	""""	""CT LTE-M B20 B8 Antenna 1v0" antenna's""	""CT LTE-M B20 B8 Antenna 1v0" antenna's""	""1.500,0""	""1,50""	""2.250,00""
""IOA2500327""	""""	""Huba Control""	""""	""""	""""	""MSWPS-713-25-PVC""	""Waterspanning conus voor gebruik met Huba 713 (niet inbegrepen); kunststof, herbruikbaar.""	""14,0""	""281,40""	""3.151,68""
""IOA2500326""	""""	""Intercontrol meet en regeltechniek BV""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Test Sensor BD  met een bereik van 0.8-2.0 Bar""	""1,0""	""100,00""	""100,00""
""IOA2500325""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00418""	""OPTOD plastic standard Optical Oxygen Sensor 3m Bare Wire Cable""	""2,0""	""637,00""	""1.274,00""
""IOA2500324""	""""	""Reichelt Elektronik GmbH""	""""	""""	""""	""DELOCK 60531""	""M8 connector A-gecodeerd 3-pins bus, met schroefaansluiting Female""	""10,0""	""6,81""	""68,10""
""IOA2500324""	""""	""Reichelt Elektronik GmbH""	""""	""""	""""	""DELOCK 60529""	""M8 connector A-gecodeerd 3-pins stekker, met schroefaansluiting Male""	""15,0""	""6,81""	""102,15""
""IOA2500323""	""""	""Head Electronics (MACH Technology)""	""""	""""	""""	""TPLV-PCB_LV8_3V2 rev1 (B) - copy""	""TPLV-PCB_LV8_3V2 rev1 (B) A230719""	""1.500,0""	""59,51""	""89.265,00""
""IOA2500322""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""1,0""	""378,00""	""378,00""
""IOA2500321""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00173""	""NTU Sensor, 3 meters cable, bare wire""	""1,0""	""1.199,90""	""1.199,90""
""IOA2500321""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00155""	""Cartridge for pH-ORP Sensor""	""1,0""	""215,80""	""215,80""
""IOA2500320""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""2,0""	""378,00""	""756,00""
""IOA2500319""	""""	""Huba Control""	""""	""""	""""	""713.99002""	""digital+temp (3 bytes), 15m kabel, 0,8 - 2,0 bara, speciale konfectie""	""25,0""	""161,25""	""4.031,25""
""IOA2500319""	""""	""Huba Control""	""""	""""	""""	""713.8120307110""	""Pressure sensor, 713.8120307110  ceramic, 800-2000 mBar absolute, 25M cable, 0.5-4.5V/5V supply""	""1,0""	""189,45""	""189,45""
""IOA2500319""	""""	""Huba Control""	""""	""""	""""	""713.99000""	""digital+temp (3 bytes), 10m kabel, 0,8 - 2,0 bara, speciale konfectie""	""100,0""	""119,30""	""11.930,00""
""IOA2500319""	""""	""Huba Control""	""""	""""	""""	""713.99002""	""digital+temp (3 bytes), 15m kabel, 0,8 - 2,0 bara, speciale konfectie""	""25,0""	""161,25""	""4.031,25""
""IOA2500318""	""""	""Topa Verpakkingen BV""	""""	""""	""""	""MPS-VERZEND""	""Verzend- en handelingkosten voor orders kleiner dan €3500,-""	""1,0""	""11,50""	""11,50""
""IOA2500318""	""""	""Topa Verpakkingen BV""	""""	""""	""""	""12000304""	""D-B Silica gel 1/6 Eenheid, 5 Gram""	""1.500,0""	""0,13""	""189,00""
""IOA2500317""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""2,0""	""378,00""	""756,00""
""IOA2500316""	""""	""Elfa Elementenfabriek B.V expert in accu's, batterijen en verlichting""	""""	""""	""""	""TPBATA-34615""	""Batterij voor xx8 apparaten (LTE-M of NB-IoT)""	""1.000,0""	""12,85""	""12.850,00""
""IOA2500316""	""""	""Elfa Elementenfabriek B.V expert in accu's, batterijen en verlichting""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""ADR/toeslag""	""1,0""	""13,50""	""13,50""
""IOA2500315""	""""	""Technische Unie BV""	""""	""""	""""	""ZZZ-GLND-IP68-M12-BLUE""	""Blueglobe Gland M12""	""1.500,0""	""1,03""	""1.545,00""
""IOA2500314""	""""	""Foam Conversion UK Ltd""	""""	""""	""""	""TPWS1-70""	""Model WS1, wind screen 70 mm for NP2/4 en SP7/C NMS stations (has been certified by PTB in combination with SPA/SPC)""	""200,0""	""0,00""	""0,00""
""IOA2500313""	""""	""Marbus Verwerkingsindustrie""	""""	""""	""""	""TPLV-Label""	""BC09028 LV LABEL for serialnumber""	""5.000,0""	""0,27""	""1.305,00""
""IOA2500312""	""""	""Digi-Key""	""""	""""	""""	""WM14168TR-ND""	""WM14168TR-ND
5600850101
CONN SOCKET 22-26AWG CRIMP TIN reel 12.000pcs""	""12.000,0""	""0,05""	""600,00""
""IOA2500312""	""""	""Digi-Key""	""""	""""	""""	""WM11188-ND""	""5023510800
CONN RCPT HSG 8POS 2.00MM""	""2.500,0""	""0,25""	""625,00""
""IOA2500311""	""""	""Digi-Key""	""""	""""	""""	""732-726300002-ND""	""BLACK PLASTIC COVER FOR SMA JACK""	""2.000,0""	""0,29""	""580,00""
""IOA2500310""	""""	""Nedis""	""""	""""	""""	""TPSDMC100ME_kaak""	""Kaak voor klemset""	""80,0""	""5,92""	""473,60""
""IOA2500309""	""""	""Eriks BV""	""""	""""	""""	""TPLV-RING-DOP""	""Ring NEO40 49x40x5""	""5.000,0""	""0,44""	""2.200,00""
""IOA2500308""	""""	""AquaLabo""	""""	""""	""""	""PF-CAP-C-00169""	""Conductivity digital sensor bare wire 3m C4E""	""3,0""	""800,00""	""1.560,00""
""IOA2500307""	""""	""SUNPE LIMITED""	""""	""""	""""	""TPLVDOP""	""watermeter_enclosure_two_part_lid_v1_assembly_body
watermeter_enclosure_two_part_lid_v1_assembly_top""	""5.000,0""	""0,80""	""3.600,00""
""IOA2500307""	""""	""SUNPE LIMITED""	""""	""""	""""	""MPS-VERZEND""	""Freight""	""1,0""	""1.989,00""	""1.790,10""
""IOA2500306""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615""	""waterproof IP68  Battery for xx8 devices (LTE-M or NB-IoT) ER34615, 3.6V 19AH, with 5 cm wire, with JST connector""	""10,0""	""5,90""	""53,10""
""IOA2500306""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""TPBATA-34615""	""Battery for xx8 devices (LTE-M or NB-IoT)  ER34615, 3.6V 19AH, with 5 cm wire, with JST connector""	""1.200,0""	""5,80""	""6.264,00""
""IOA2500306""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Bank charge""	""1,0""	""25,00""	""22,50""
""IOA2500306""	""""	""General Electronics Batter Ltd""	""""	""""	""""	""XXX-WRK-THIRDPARTY""	""Freight fee From Shenzhen to NL, door to door service""	""1,0""	""0,00""	""0,00""
""IOA2500305""	""""	""GDK plastics""	""""	""""	""""	""100.990070001""	""Watermeterhuis LV4,5 kort""	""5.000,0""	""1,52""	""7.600,00""
""IOA2500304""	""""	""Technische Unie BV""	""""	""""	""""	""ZZZ-GLND-IP68-M12-BLUE""	""Blueglobe Gland M12""	""1.100,0""	""1,03""	""1.133,00""
""IOA2500304""	""""	""Technische Unie BV""	""""	""""	""""	""ZZZ-CONTMOER-M12X1,5""	""WISK CONTMOER EMUG M12X1,5""	""500,0""	""0,12""	""60,00""
""IOA2500303""	""""	""Topa Verpakkingen BV""	""""	""""	""""	""12000304""	""D-B Silica gel 1/6 Eenheid, 5 Gram""	""1.500,0""	""0,13""	""189,00""
""IOA2500302""	""""	""SONOR Kalibratie B.V.""	""""	""""	""""	""MPSR-CAL1Y2""	""Kalibratie (1 keer per 2 jaar benodigd)""	""3,0""	""378,00""	""1.134,00""
""IOA2500301""	""""	""Huba Control""	""""	""""	""""	""ZZZ-SNS-PRESS-D713-20L20""	""Pressure sensor,713.C140306110  ceramic, 0.8-3 Bar absolute, 20M cable, 0.5-4.5V/5V supply""	""7,0""	""244,70""	""1.712,90""
