""Nummer""	""Groepcode""	""Naam""	""Afronding""	""Statistieknr. (HS code)""	""Filter 1""	""Filter 2""	""Filter 3""	""Filter 4""
""PGA1500005""	""ISPN""	""InsightNow Platform, non-recurring""	""0,01""	""""	""""	""""	""""	""""
""PGA1500006""	""ISNN""	""InsightNow Network, non recurring""	""0,01""	""""	""""	""""	""""	""""
""PGA1500007""	""Verwijderen-INS""	""Installation""	""0,01""	""""	""""	""""	""""	""""
""PGA1500009""	""MPS""	""Munisense Professional Services""	""0,01""	""""	""""	""""	""""	""""
""PGA1500011""	""TPP""	""Third Party Products""	""0,01""	""""	""""	""""	""""	""""
""PGA1500012""	""TPSN""	""Third Party Services, non-recurring""	""0,01""	""""	""""	""""	""""	""""
""PGA1600014""	""SAM""	""Samenstelling - gebruikt grootboek van onderdelen""	""0,01""	""""	""""	""""	""""	""""
""PGA1600016""	""ISPRM""	""InsightNow Platform, recurring per month""	""0,01""	""""	""""	""""	""""	""""
""PGA1600017""	""ISPRQ""	""InsightNow Platform, recurring per 3 months""	""0,01""	""""	""""	""""	""""	""""
""PGA1600018""	""ISPRH""	""InsightNow Platform, recurring per 6 months""	""0,01""	""""	""""	""""	""""	""""
""PGA1600019""	""ISPRY""	""InsightNow Platform, recurring per year""	""0,01""	""""	""""	""""	""""	""""
""PGA1600020""	""ISNRM-CI""	""InsightNow Network, recurring per month""	""0,01""	""""	""""	""""	""""	""""
""PGA1600021""	""ISNRQ-CI""	""InsightNow Network, recurring per 3 months""	""0,01""	""""	""""	""""	""""	""""
""PGA1600022""	""ISNRH-CI""	""InsightNow Network, recurring per 6 months""	""0,01""	""""	""""	""""	""""	""""
""PGA1600023""	""ISNRY-CI""	""InsightNow Network, recurring per year""	""0,01""	""""	""""	""""	""""	""""
""PGA1600024""	""ISNRY-FS""	""InsightNow Network, recurring per year, full serv""	""0,01""	""""	""""	""""	""""	""""
""PGA1600025""	""ISNRH-FS""	""InsightNow Network, recurring per 6 months, full s""	""0,01""	""""	""""	""""	""""	""""
""PGA1600026""	""ISNRQ-FS""	""InsightNow Network, recurring per 3 months, full s""	""0,01""	""""	""""	""""	""""	""""
""PGA1600027""	""ISNRM-FS""	""InsightNow Network, recurring per month, full serv""	""0,01""	""""	""""	""""	""""	""""
""PGA1600028""	""ISA""	""Internal Sub Assemblies (not for sale)""	""0,01""	""""	""""	""""	""""	""""
""PGA1600029""	""TPSRM""	""Third-party services, recurring per month""	""0,01""	""""	""""	""""	""""	""""
""PGA1600030""	""TPSRQ""	""Third-party services, recurring per 3 months""	""0,01""	""""	""""	""""	""""	""""
""PGA1600031""	""TPSRH""	""Third-party services, recurring per 6 months""	""0,01""	""""	""""	""""	""""	""""
""PGA1600032""	""TPSRY""	""Third-party services, recurring per year""	""0,01""	""""	""""	""""	""""	""""
""PGA1600033""	""RNT""	""InsightNow Rentals""	""0,01""	""""	""""	""""	""""	""""
""PGA1600034""	""ISPRY3""	""InsightNow Platform, recurring per 3 year""	""0,01""	""""	""""	""""	""""	""""
""PGA1600036""	""MPSRY2""	""Munisense Professional Services recurring per 2 ye""	""0,01""	""""	""""	""""	""""	""""
""PGA1700038""	""ISBAL""	""Balans boekingen""	""0,01""	""""	""""	""""	""""	""""
""PGA1700039""	""LSERM""	""InsightNow Lease, recurring, month""	""0,01""	""""	""""	""""	""""	""""
""PGA1700040""	""LSERQ""	""InsightNow Lease, recurring, per 3 months""	""0,01""	""""	""""	""""	""""	""""
""PGA1700041""	""LSERH""	""InsightNow Lease, recurring, per 6 months""	""0,01""	""""	""""	""""	""""	""""
""PGA1700042""	""LSERY""	""InsightNow Lease, recurring, per year""	""0,01""	""""	""""	""""	""""	""""
""PGA2000044""	""MPSRY1""	""Munisense Professional Services recurring per ye""	""0,01""	""""	""""	""""	""""	""""
""PGA2200045""	""""	""""	""0,01""	""""	""""	""""	""""	""""
""PGA2200046""	""""	""""	""0,01""	""""	""""	""""	""""	""""
