""Volgnr.""	""Debiteur nr.""	""Debiteur""	""Project""	""Intern steekwoord""	""account manager""	""Factuurdatum""	""Periode""	""Tot. vrk. ex. BTW (CC)""	""Tot. vrk. in. BTW (CC)""	""Betaald (CC)""	""Openstaand (CC)""
""""	""A0010""	""Peutz""	""SCA230680 Nestgeluiden 2 jr""	""afrekening Q4-> in afwachting WvdM goedkeuring""	""""	""""	""""	""8.174,70""	""9.891,39""	""0,00""	""9.891,39""
""""	""A0000""	""Aveco de Bondt B.V.""	""SCA170095 AVECO_portal-projectnummer 215753 250""	""portalkosten DEC ->  per 1 jan""	""Hans Mulder""	""""	""""	""39.600,00""	""47.916,00""	""0,00""	""47.916,00""
""""	""A0000""	""Aveco de Bondt B.V.""	""SCA250886 Periodieke kosten Vallei en Veluwe""	""Periodieke kosten Vallei en Veluwe-> okt-dec concept naar RM 19/12""	""Michelle Klijn""	""""	""""	""27.591,68""	""33.385,93""	""0,00""	""33.385,93""
""""	""A0010""	""Peutz""	""SCA230680 Nestgeluiden 2 jr""	""afrekening Q3-> in afwachting WvdM goedkeuring""	""""	""""	""""	""8.174,70""	""9.891,39""	""0,00""	""9.891,39""
""""	""DE2200307""	""Socotec Geotechnics""	""SCA250867 HDSR - 25SP0966 - Lease""	""2x LV8 10/10 van WRIJ (Koop) naar HDSR (lease)""	""Hans Mulder""	""""	""""	""-1.027,23""	""-1.242,95""	""0,00""	""-1.242,95""
""""	""A0000""	""Aveco de Bondt B.V.""	""SCA250886 Periodieke kosten Vallei en Veluwe""	""5x LV8 20L20 Vallei en Veluwe-> prijs navragen 20/20 voor vallei en veluwe""	""Michelle Klijn""	""""	""""	""2.095,05""	""2.535,01""	""0,00""	""2.535,01""
""""	""DE2100274""	""DCMR Milieudienst Rijnmond""	""SCA240781 5x GD1-Pilot Oude Haven""	""periodieke kosten 2026 tot 1-5-26-> offerte voor 5 maanden naar J.Potter""	""""	""""	""""	""2.757,85""	""3.337,00""	""0,00""	""3.337,00""
""""	""DE2000235""	""Stichting Waterhouderij Walcheren""	""SCA200386 19xLV5-7 + 5x QU7""	""periodieke kosten 1/10-1/10 -> info Thaem van Aequator voor verlening""	""""	""""	""""	""566,76""	""685,78""	""0,00""	""685,78""
""VFA2504956""	""DE1600068""	""AKRON""	""SCA240804 Aanbesteding Gent/Leuven NP9+GD1""	""Nudging-> discussie over korting-> half dec factuur 29.475.- min 15%=12,5%""	""George Boersma""	""22-12-2025""	""2025/12""	""25.792,50""	""25.792,50""	""0,00""	""25.792,50""
""VFA2504955""	""A0000""	""Aveco de Bondt B.V.""	""""	""5x LV8 20L20 Vechtstromen-> vallei en veluwe""	""Michelle Klijn""	""22-12-2025""	""2025/12""	""-2.095,05""	""-2.535,01""	""0,00""	""-2.535,01""
""VFA2504954""	""DE2000248""	""Aarhus Vand Forsyning A/S""	""SCA200436 10x Watermeters""	""Batterij vervanging-> intern voor afboeken vrd""	""""	""22-12-2025""	""2025/12""	""0,00""	""0,00""	""0,00""	""0,00""
""VFA2504953""	""G0033""	""Gemeente Rotterdam""	""SCA230667 Dynamische displays tbv zomeroffensief""	""info GB per.kn.""	""""	""19-12-2025""	""2025/12""	""5.240,00""	""6.340,40""	""0,00""	""6.340,40""
